1767,,,,,821,Domeinnaambeleid,Websitetest Internet.nl,,,,,,,,,,,E-mailtest Internet.nl,,,,,,,,,565
URL,Organisatietype,Organisatie,Suborganisatie,Afdeling,Bezoeken/mnd,Voldoet,Totaal,IPv6,DNSSEC,HTTPS,CSP,RefPol.,X-Cont.,X-Frame.,SecurityTxt,RPKI,Testdatum,Totaal,IPv6,DNSSEC,STARTTLS en DANE,DMARC,DKIM,SPF,RPKI,Testdatum,Platformgebruik
http://www.mobiliteitsbank.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),O&P Rijk (Organisatie en Personeel Rijk),P-direkt,79104,ja,ja,ja,ja,ja,waarschuwing,waarschuwing,ja,ja,waarschuwing,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Carriere Sites Overheid (BZK)
http://www.rvig.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),RvIG (Rijksdienst voor Identiteitsgegevens),,77877,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 19:12:43,ja,ja,ja,,ja,,ja,ja,2024-06-13 18:47:42
http://www.nlarbeidsinspectie.nl,Rijksoverheid,SZW (Ministerie van Sociale Zaken en Werkgelegenheid),NLA (Nederlandse Arbeidsinspectie),,74489,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-21 00:33:59,ja,ja,ja,,ja,,ja,ja,2024-06-13 21:21:25,Platform Rijksoverheid Online (AZ/DPC)
http://www.werkenbijdeoverheid.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),O&P Rijk (Organisatie en Personeel Rijk),P-direkt,73437,ja,ja,ja,ja,ja,waarschuwing,waarschuwing,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Carriere Sites Overheid (BZK)
http://waarzitwatin.nl,Rijksoverheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",,Kerndepartement/VGP,70869,ja,ja,ja,ja,ja,waarschuwing,waarschuwing,waarschuwing,info,waarschuwing,ja,2024-06-20 18:45:22,ja,ja,ja,,ja,ja,ja,ja,2024-06-13 18:30:21
http://www.aivd.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),AIVD (Algemene Inlichtingen- en Veiligheidsdienst),,70765,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.nza.nl,Overheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",NZa (Nederlandse Zorgautoriteit),,70199,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.nationaleombudsman.nl,Overheid,No (Nationale ombudsman),,,69355,,nee,ja,nee,ja,waarschuwing,ja,ja,ja,waarschuwing,ja,2024-06-20 20:39:33,nee,ja,nee,,ja,nee,nee,ja,2024-06-13 19:37:23
http://www.cultureelerfgoed.nl,Rijksoverheid,"OCW (Ministerie van Onderwijs, Cultuur en Wetenschap)",RCE (Rijksdienst voor het Cultureel Erfgoed),,68363,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.pianoo.nl,Overheid,EZK (Ministerie van Economische Zaken en Klimaat),RVO (Rijksdienst voor Ondernemend Nederland),PIANOo (Expertisecentrum Aanbesteden),67253,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,nee,ja,ja,ja,ja,nee,ja,ja,2024-06-13 19:37:23,DICTU Platform (EZK/DICTU)
http://www.dus-i.nl,Rijksoverheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",DUS-I (Dienst Uitvoering Subsidies aan Instellingen),,61876,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.ssc-ict.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),SSC-ICT,,58035,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,ja,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.pns.nl,Rijksoverheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",RIVM (Rijksinstituut voor Volksgezondheid en Milieu),,56718,nee,nee,nee,ja,ja,waarschuwing,ja,ja,ja,info,ja,2024-06-20 20:39:33,nee,nee,ja,,waarschuwing,nee,nee,ja,2024-06-13 19:37:23
http://www.eherkenning.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),Logius,Informatievoorzieningen,56431,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,DICTU Platform (EZK/DICTU)
http://www.digitaleoverheid.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),,,53648,ja,ja,ja,ja,ja,waarschuwing,waarschuwing,waarschuwing,info,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,ja,ja,ja,2024-06-13 19:37:23
http://www.nix18.nl,Rijksoverheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",,Kerndepartement/VGP,52971,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://aandeslagmetdeomgevingswet.nl,Overheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),,,47781,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,info,ja,2024-06-20 17:15:00,nee,nee,ja,nee,ja,ja,ja,ja,2024-06-13 17:08:59
http://www.oprijk.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),O&P Rijk (Organisatie en Personeel Rijk),,46523,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-21 06:57:33,ja,ja,ja,,ja,,ja,ja,2024-06-14 00:36:56,Platform Rijksoverheid Online (AZ/DPC)
http://www.staatsexamensnt2.nl,Rijksoverheid,"OCW (Ministerie van Onderwijs, Cultuur en Wetenschap)",CvTE (College voor Toetsen en Examens),,46446,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 21:12:54,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:58:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.milieuzones.nl,Rijksoverheid,EZK (Ministerie van Economische Zaken en Klimaat),RVO (Rijksdienst voor Ondernemend Nederland),,44501,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:56:14,nee,ja,ja,ja,ja,nee,ja,ja,2024-06-13 19:43:03,DICTU Platform (EZK/DICTU)
http://www.nctv.nl,Rijksoverheid,JenV (Ministerie van Justitie en Veiligheid),NCTV (Nationaal Coördinator Terrorismebestrijding en Veiligheid),,43595,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.mijneindexamen.nl,Rijksoverheid,"OCW (Ministerie van Onderwijs, Cultuur en Wetenschap)",CvTE (College voor Toetsen en Examens),,43296,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,waarschuwing,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23
http://www.ncsc.nl,Rijksoverheid,JenV (Ministerie van Justitie en Veiligheid),NCSC (Nationaal Cyber Security Centrum),,43260,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 19:12:43,ja,ja,ja,,ja,,ja,ja,2024-06-13 18:47:42,Platform Rijksoverheid Online (AZ/DPC)
http://www.pbl.nl,Rijksoverheid,IenW (Ministerie van Infrastructuur en Waterstaat),PBL (Planbureau voor de Leefomgeving),,42269,ja,nee,nee,ja,nee,waarschuwing,,waarschuwing,,waarschuwing,ja,2024-06-20 20:56:14,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:43:03
http://www.loketgezondleven.nl,Rijksoverheid,"VWS (Ministerie van Volksgezondheid, Welzijn en Sport)",RIVM (Rijksinstituut voor Volksgezondheid en Milieu),,41404,nee,nee,nee,ja,ja,waarschuwing,ja,ja,ja,info,ja,2024-06-20 20:39:33,nee,nee,ja,,waarschuwing,nee,nee,ja,2024-06-13 19:37:23
